domain,pc1,afm,afm_bias,afm_min,afm_rely,fc,mbfc,mbfc_bias,mbfc_fact,mbfc_min,lewandowsky_acc,lewandowsky_trans,lewandowsky_rely,lewandowsky_mean,lewandowsky_min,misinfome_bin
zdf.de,0.932303283086416,0.892382800579071,0.89039009809494,0.877591371536255,0.89382404088974,0.649187982082367,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
group30.org,0.932150542574171,0.88955694437027,0.893221735954285,0.87768167257309,0.892639577388763,0.649187982082367,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
goodnewsnetwork.org,0.931854544428937,0.9179,0.967,0.8688,0.8688,0.564302921295166,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
npr.org,0.930525246755544,0.8834,0.8515,0.8515,0.9152,0.657822012901306,1,1,1,1,0.75,1,1,0.875,0.75,1
ft.com,0.930139262512042,0.8884,0.8857,0.8857,0.891,0.623060286045075,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
independentmail.com,0.927259886031634,0.884269177913666,0.854136288166046,0.851726233959198,0.905162274837494,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
wowt.com,0.926860613409734,0.881073355674744,0.857186079025269,0.851305305957794,0.902273058891296,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
spotlightpa.org,0.926637275480105,0.879475831985474,0.880518078804016,0.84817898273468,0.880824387073517,0.658258616924286,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
news.abs-cbn.com,0.926504244994787,0.880684792995453,0.857678234577179,0.851305305957794,0.897996187210083,0.651173233985901,0.907745480537415,0.996537327766418,0.833429217338562,0.847284317016602,1,1,1,1,1,1
web.randi.org,0.926504244994787,0.880684792995453,0.857678234577179,0.851305305957794,0.897996187210083,0.651173233985901,0.907745480537415,0.996537327766418,0.833429217338562,0.847284317016602,1,1,1,1,1,1
economist.com,0.926495544108839,0.8731,0.8769,0.8692,0.8692,0.658258616924286,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
ctvnews.ca,0.926445778463004,0.887388169765472,0.901503205299377,0.859835743904114,0.87929779291153,0.605789363384247,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
ncsl.org,0.92629107180748,0.88289487361908,0.853817224502564,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
publicpolicypolling.com,0.92629107180748,0.88289487361908,0.853817224502564,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
lcsun-news.com,0.92624515412961,0.878751575946808,0.857665300369263,0.851282894611359,0.898233830928803,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
wtok.com,0.926224606189741,0.87622481584549,0.857567310333252,0.848892688751221,0.902660369873047,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
azcapitoltimes.com,0.926160962235276,0.879874229431152,0.858037948608398,0.848892688751221,0.898263037204742,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
rsf.org,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
iea.org,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
dailynorthwestern.com,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
constitutioncenter.org,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
janes.com,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
arirang.com,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
hastingstribune.com,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
tribunecontentagency.com,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
imediaethics.org,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
justicedenied.org,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
dccircuitbreaker.org,0.926083009790671,0.881420493125916,0.852480173110962,0.851726233959198,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
clickondetroit.com,0.92604876697167,0.88043475151062,0.853817224502564,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
investopedia.com,0.92604876697167,0.88043475151062,0.853817224502564,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
scotsman.com,0.925960447501987,0.88043475151062,0.852782487869263,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
nwitimes.com,0.925960447501987,0.88043475151062,0.852782487869263,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
jta.org,0.925960447501987,0.88043475151062,0.852782487869263,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
lancasteronline.com,0.925960447501987,0.88043475151062,0.852782487869263,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
federalnewsnetwork.com,0.925960447501987,0.88043475151062,0.852782487869263,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
capecodtimes.com,0.925960447501987,0.88043475151062,0.852782487869263,0.851192533969879,0.897996187210083,0.651173233985901,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
